Complexity,Fitness,Equation 0,Equation 1,Equation 2
5,2.265224,rpe*y0,-1.67,rpe
7,2.178611,a0,-0.672,2*rpe - 1.23
9,2.1089928,rpe + y1,-0.994*y0,a1 + rpe
11,1.8072021,y1*(rpe - y1),y0,2*a0 + rpe
13,1.6764034,y1*(rpe - y1),a1,3*a0 + rpe
15,1.615983,y1*(rpe - y1),y0,2*a0 - 0.893*a1 + rpe
21,1.5581242,y1*(rpe - y1),y0 + y1,2*a0 - 1.42*a1 + rpe
23,1.5175266,y0,-a1 + rpe*y0 + rpe*y1 - y1,2*a1 + rpe*(a1 + 0.00794) - 0.0921
23,1.5175266,y0,-a1 + rpe*y0 + rpe*y1 - y1,2*a1 + rpe*(a1 + 0.00794) - 0.0921
27,1.5153852,-0.52*rpe,-a1 + rpe*y0 + rpe*y1 - y1,a0 + a1 + (a1 + 0.00794)*(rpe + 1.15) - 0.511
29,1.5010239,0.168*y1*(-y1**2 - 0.00122),rpe*y0,4*a0 + 2*a1 + rpe
31,1.4032782,0.168*y1*(-a0*y1 + a0 - a1 - y1**2),rpe*y0,4*a0 + 2*a1 + rpe
33,1.2651255,0.168*y1*(-a0*y1 + a0 - a1 - y1**2),rpe*y0,5*a0 + 2*a1 + rpe
35,1.2279214,0.168*y1*(-a0*y1 + a0 - a1 - y1**2),rpe*(y0 + 0.44),5*a0 + 2*a1 + rpe
