Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
9,2.7982817,rpe,rpe,a0,rpe,a0**2*a1
13,1.3846816,rpe*y0,y0,1.64*a0,rpe,-0.936
17,1.2760785,rpe*y0*(a0 + 0.948),a0*rpe,2*a0 - a1,y0,0.0655
19,1.2653378,2*rpe*y0*(a0 + 0.948),a0*rpe,2*a0 - a1,rpe,a0
25,1.2367471,rpe*y0,a0,2*a0 - 0.225*rpe + 0.195,a1*(a1 + rpe + y0),-0.322
27,1.1870263,rpe*y0,a0,2*a0 - 0.225*rpe + 0.195,a1*(a1*rpe*(a1 + rpe) - a1),0.518 - rpe
29,1.1796507,rpe*y0,a0,2*a0 - 0.225*rpe + 0.195,a1*rpe**2*(-rpe + y0) - a1,rpe - y0 + 0.123
31,1.1761672,rpe*(-0.504*a0*y0 + y0),rpe,2*a0 - 0.225*rpe + 0.195,a1*(2*a1*rpe + rpe + y0),a0
35,1.1653583,y0*(a0 + 0.948)*(2*rpe*(a0 + 0.948) + rpe),a0*rpe,1.64*a0 - a1,rpe,0.587
39,1.1637203,y0*(a0 + 0.948)*(2*rpe*(a0 + 0.948) + rpe),a0*rpe,1.64*a0 - a1,rpe,-0.936*a1**2
49,1.1574357,rpe*(-0.046*a0**2 + 0.046*a0 + y0),rpe*(rpe**2*(a1 + 2*y0) + rpe + y0),a0 + a1 - 0.225*rpe + 0.195,2*rpe*y0,-a1 - rpe + 0.824
65,1.1469213,rpe*(-0.046*a0*y0 + 0.046*a0 + y0),rpe*(a0 + rpe**2*(a1 + 2*y0) + rpe),a0 + a1 - 0.225*rpe + 0.195,y0*(2*a1*y0*(a1 + rpe - y0) + rpe),0.246*rpe
