Complexity,Fitness,Equation 0,Equation 1,Equation 2
5,1.705581,rpe*y0,a1,a0
9,1.7042503,a1,rpe*y0,1.57*a1
11,1.6161721,rpe*y0,y0,a0 + a1**2*rpe
13,1.5739095,rpe*y0,y0,a0 + a1**2*(rpe - 0.25)
15,1.569619,rpe*y0,a0*y0,a0 + a1**2*(rpe - 0.25)
17,1.5653188,rpe*y0,a0 + a1*y0,a0 + a1**2*(rpe - 0.25)
19,1.5316778,0.332*rpe*y0,a1,a0*rpe + 4*a0
21,1.511442,a1*rpe*y0,-1.27*rpe,1.93*a0*a1 + a0*rpe + 1.93*a0
23,1.5019407,a1*rpe*y0,rpe**2,1.93*a0**3 + a0*rpe + 1.93*a0
27,1.4392308,rpe*y0,-0.109*a1 - 1.09*y0,1.93*a0**2*a1 + a0*rpe + 1.93*a0
