Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,2.7139595,0.0129,y0,a1
5,1.6883171,a1,rpe,a0 + rpe
7,1.4413733,a0*rpe,rpe*y0,a1
9,0.9552759,rpe*(y0 + 0.305),a1,2*a0
15,0.8827324,a0,rpe*(-0.141*rpe + y0) - 0.397*rpe,2*a1
19,0.88156015,(a1 + y0)*(1.01*rpe + 0.00187),-2.04*a0 - 2.04*y0,2*a0
21,0.86315227,0.0559*rpe**2*y0 + 0.97*rpe*y0,y0,2*a0 - 0.172*rpe
23,0.8547034,rpe*(a1 - 0.0767*rpe + y0),-0.524,a0**3 + a0 - 0.16*rpe
25,0.84652346,(a1 + y0)*(0.0246*rpe**2 + 2*rpe + 0.00688),-0.0734*rpe,2*a0*a1 + a0
27,0.82339,(a1 + y0)*(0.0246*rpe**2 + rpe),-0.0734*rpe**2*(rpe + y0),a0 + a1*(a0 + 0.185)
31,0.81134194,(a1 + y0)*(0.0246*rpe**2 + 2*rpe + 0.00688),-0.0734*a1 - 0.0734*rpe,4*a0*a1 + a0
35,0.79230714,(a1 + y0)*(2*rpe + 0.00984),-0.0734*rpe**2*(-0.141*rpe + y0),0.0642*a0**2 + 1.06*a0 + 2*a1
