Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
15,1.6734495,a0,y1,a0*a1 + a0 + a1 + rpe,a0,0.807*y0
17,1.5585043,1.65,a1,-0.0165*a1**2 + rpe,y0,a1*(rpe + y1)
19,1.2268214,rpe + y1,rpe*y0,-a0*a1 + a1,y0,2*y0*y1 + y1
25,1.1241307,y1*(0.394*rpe - 0.554),a1,3.18*a0 + rpe,1.24 - a1,a0 - 1.69
27,1.0518901,2*y1*(0.394*rpe - 0.554),a1,3.18*a0 + rpe,1.24 - a1,rpe*y0
29,0.8184564,3*y1*(rpe - 1.09),rpe,3.48*a0 + 0.691*a1 + rpe,a0,2*a0
31,0.7139379,a1,-a1 + rpe*y0 - rpe - y0 - 3*y1,5*a1 + rpe,2*y1,-0.162
35,0.65674406,a1,-a1 + rpe*y0 - rpe - y0 - 3*y1,5*a1 + 2*rpe,2*y1,y0 - 0.852
37,0.6074248,0.091*a1**2,-a1 + rpe*y0 - rpe - y0 - 3*y1,a0 + 5*a1 + 2*rpe,y0,-3.41
41,0.59885204,rpe*y0,-a1 + rpe*y0 - rpe - y0 - 3*y1,a0 + 4*a1 + rpe,a0,2*a0 + 3*y0 - 0.0808
43,0.5946525,rpe*y0,-a1 + rpe*y0 - rpe - y0 - 3*y1,a0 + 4*a1 + rpe,rpe + y1,2*a0 + 3*y0 - 0.0808
47,0.5895312,a1 - rpe*(0.285 - a0) + 0.0234*y1,-2*a1 + rpe*y0 - rpe - y0 - 2*y1,a0 + 5*a1 + 2*rpe,y1,-0.0808*a1 - 0.0808*y0
51,0.535721,3*rpe*y0 - 2*y1,-2*a1 + rpe*y0 - rpe - y0 - 2*y1,3*a0 + 3*a1 + 2*rpe,y1,y0 - 0.162
53,0.46758872,3*rpe*y0 - 2*y1,-2*a1 + rpe*y0 - rpe - y0 - 2*y1,2*a0 + 4*a1 + 2*rpe,y1,2*y0 - 0.162
57,0.4636005,3*rpe*y0 - 2*y1,-2*a1 + rpe*y0 - rpe - y0 - 2*y1,2*a0 + 4*a1 + 2*rpe,2*rpe,2*y0 - 1.01
63,0.4600839,3*rpe*y0 - 2*y1,-2*a1 + rpe*y0 - rpe - y0 - 2*y1,2*a0 + 4*a1 + 2*rpe,2*rpe,5*y0 - 0.0808
65,0.45935988,3*rpe*y0 - 2*y1,-2*a1 + rpe*y0 - rpe - y0 - 2*y1,2*a0 + 4*a1 + 2*rpe,3*rpe,6*y0 - 0.933
69,0.45747393,3*rpe*y0 - 2*y1,-2*a1 + rpe*y0 - rpe - y0 - 2*y1,2*a0 + 4*a1 + 2*rpe,a0 + 4*rpe,a0 + 5*y0 - 0.933
