Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,1.3593333,y0,a1,0.172
5,1.3212892,a1,0,0.116
7,1.3155756,a1 + 0.0961,a1,0.116*a0
9,1.2342993,a1 + rpe,rpe*y0,0.113*a1
11,1.0876784,rpe*(a0 + y0),0.781,0.344*a0
15,1.0303993,rpe*y0,rpe,0.172*a0*(a0 + 1.02) + 0.172*a0 + 0.0296
19,1.0023857,1.49*rpe*y0,y0,0.172*a0*(a0 + 1.02) + 0.172*a0
21,0.9383927,2*a1*rpe*y0,a1 - 0.384,a0*(0.105*a0 + 0.314*a1)
23,0.8919114,2*a1*rpe*y0,0.226,a0*(0.105*a1*(a0 + a1) + 0.314*a1)
25,0.89114255,a1*rpe*y0,-0.431,a0*(0.105*a0 + 0.419*a1 + 0.105*rpe)
27,0.859778,2*a1*rpe*y0,-0.431,a0*(0.105*a0 + 0.419*a1 + 0.105*rpe)
29,0.8282568,3*a1*rpe*y0,a0*y0 + 0.422,0.209*a0*a1*(a1*(a0 + a1) + a1)
29,0.8282568,3*a1*rpe*y0,a0*y0 + 0.422,0.209*a0*a1*(a1*(a0 + a1) + a1)
33,0.816077,rpe*y0*(a1**2 + 2*a1),a0*a1*y0 + 0.422,0.209*a0*a1*(a1*(a0 + a1) + a1)
35,0.7783256,4*a1*rpe*y0,a0*y0 + 0.422,a0*(0.105*a1*(a0 + a1) + 0.314*a1)
