Complexity,Fitness,Equation 0,Equation 1,Equation 2
5,2.0969713,1.09,rpe*y0,a1
9,1.4517683,rpe*y0,-0.713,4.84*a0 - 1.02
13,1.3644625,a1,rpe*y0,4*a1 + rpe
15,1.3560941,a1,rpe*y0,5*a1 + rpe
19,1.335861,a0,rpe*y0,a1*(a1 + rpe) + 4*a1 - 0.697
19,1.335861,a1,rpe*y0,a1*(a1 + rpe) + 4*a1 - 0.697
19,1.335861,rpe,rpe*y0,a1*(a1 + rpe) + 4*a1 - 0.697
21,1.3036702,a0,rpe*(a1 + y0),a1*(a1 + rpe) + 4*a1 - 0.697
23,1.287371,y0,rpe*(2*a1 + y0),a1*(a1 + rpe) + 4*a1 - 0.697
23,1.287371,a0,rpe*(2*a1 + y0),a1*(a1 + rpe) + 4*a1 - 0.697
25,1.2757133,a0 + y0,rpe*(a0 + a1 + y0),a1*(a1 + rpe) + 4*a1 - 0.697
27,1.2677071,-0.359*a0*y0*(a0 + a1) + rpe*(y0 + 0.943),a0,a0**4*(a0 + a1)
27,1.2677071,-0.359*a0*y0*(a0 + a1) + rpe*(y0 + 0.943),a0,a0**4*(a0 + a1)
29,1.2609727,a1*(y0 + 0.595),rpe*(a0 + a1 + y0),a1*(a1 + rpe) + 4*a1 - 0.372
31,1.2480638,a1*(a0 + y0 + 0.297),rpe*(a0 + a1 + 2*y0),a1*(a1 + rpe) + 4*a1 - 0.697
41,1.2398252,a0*rpe*y0 + y0*(2*a0 + rpe),a0*a1 - 0.000312,4*a0 + 3*a1 + rpe
