Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,1.1575851,y0,-0.927,0.0171
5,1.1571866,y0,a1*y0,0.0173
7,1.1530449,a0,a0*rpe + a1,0.0273
9,1.0947137,rpe*y0 + rpe,rpe,0.0286*a0
11,0.6666969,rpe*y0,a1,-0.495*a0*rpe + 0.495*a0
13,0.6549119,rpe*y0,-0.927,-0.437*a0*(a1 + rpe)
15,0.636578,a1*rpe*y0,-1.48,0.664*a0*(0.635*a1 + 0.635*rpe)
23,0.6267692,a0*rpe + 2*rpe*y0,-1.31,a0*a1*(0.403*a1 + 0.403*rpe)
25,0.6252704,a1*rpe*y0,a0*a1 + a1 + rpe,0.664*a0*(0.635*a1 + 0.635*rpe)
27,0.6237126,2*a0*rpe + 2*rpe*y0,-1.72,a0*a1*(0.403*a1 + 0.403*rpe)
29,0.62299097,2*a0*rpe + 2*rpe*y0,a1 - 0.927,a0*a1*(0.403*a1 + 0.403*rpe)
