Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
13,3.0566833,0.629*a1*y0,rpe,rpe*(a0 + a1),y0,rpe
15,2.6173525,a0,0.00322,2*a0 + rpe - 1.7,-0.368,a0
17,2.0425282,rpe*y0,y0 - 0.124,2*a0 + 1.57*rpe,rpe,y0
19,1.9808773,rpe*y0,-0.290,a0 + rpe - 1.01,y0 + 0.703,rpe
21,1.840195,rpe*(a0 + y0),0,a0 + rpe - 0.804,a0 + 2.93,a1
23,1.6488223,rpe*(2*a0 + y0),a0,2*a0 + rpe - 1.51,y0,rpe
25,1.6391774,rpe*(a0 + y0),a0 - 1.15,2.8*a0 + 0.7*rpe,a0**2,a1*rpe
27,1.6375296,rpe*(a0 + y0),a0 + a1 - 1.15,2.8*a0 + 0.7*rpe,a0*a1,a1*rpe
29,1.6361163,rpe*(2*a0 + y0),rpe,2*a0 + rpe - 1.51,a0 + a1 - 1.69*y0,rpe
31,1.6327094,rpe*(a0 + a1 + y0),a0*rpe*y0 + a0,2*a0 + rpe - 1.51,a0,a1 + rpe
33,1.6262741,rpe*(4*a0 + 2*y0),rpe + y0,2*a0 + rpe - 1.6,a0 + a1,rpe
35,1.4487364,rpe*(a0 - 0.166*rpe + y0),y0*(a1 + rpe),a0**2 + 4*a0 + a1 + rpe,rpe**2 - y0,-0.176
37,1.365615,0.211*rpe*(a0 - 0.166*rpe + y0),2*a1*rpe + rpe*(a1 + y0),4*a0 + 2*a1 + rpe,a1,y0
39,1.3289536,0.211*rpe*(a0 - 0.166*rpe + y0),a1*rpe - 2.41*y0**3,a0**2 + 4*a0 + a1 + rpe,a1,a0
41,1.3171976,0.211*rpe*(a0 - 0.166*rpe + y0),rpe*(a1 + y0) - 2.41*y0,a0**2 + 4*a0 + a1 + rpe,a0 - y0,a0 + 1.7
53,1.3083738,0.211*rpe*(a0 - 0.166*rpe + y0),-0.761*a1 + rpe*y0 - 0.761*rpe - 2.41*y0,a0**2 + 4*a0 + a1 + rpe,rpe*y0 + rpe - 0.897*y0 - 1.69,a0 + 1.58
55,1.3007114,0.211*rpe*(a0 - 0.166*rpe + y0),-0.761*a1 + rpe*y0 - 0.577*y0,a0**2 + 4*a0 + a1 + rpe,a1 + rpe*y0 - 0.959,3.15*a0 + 1.58*y0
57,1.293668,0.211*rpe*(a0 - 0.166*rpe + y0),-0.761*a1 + rpe*y0 - 0.577*y0,a0**2 + 4*a0 + a1 + rpe,-4.94*rpe**2*y0 - 1.6,a0
65,1.2883258,0.211*rpe*(a0 - 0.166*rpe + y0),-0.761*a1 + rpe*y0 - 0.577*y0,a0**2 + 4*a0 + a1 + rpe,-4.94*rpe**2*y0 - 1.6,3*a0 - 2*rpe
