Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
11,2.6233478,a0,a0 + rpe*y0,a0 - 0.878,a1,y0
15,1.8304102,y0*(a0 + rpe),rpe,-a0**2 + rpe,rpe,a1 + y0
17,1.6697955,-0.340,a0*y0 + 2*rpe*y0,a1*rpe,0.856,rpe
19,1.4732333,a1 + rpe,rpe*(y0 - 0.00198),a1*rpe + rpe - 1.32,a0 + 0.323,y0
21,1.2578691,y0,a0 + 2*rpe*y0,a1*rpe + 1.0*a1 - 0.878,-0.247,y0
23,1.1679379,y0,a0*y0 + 2*rpe*y0,a1*rpe + 1.0*a1 - 0.878,a0,1.24
29,1.1536922,-rpe**2 + y0,a0*y0 + 2*rpe*y0,a1*rpe + 1.0*a1 - 0.878,rpe,y0**2
31,1.0726886,2*a0*y0 + rpe + y0*(2*a0 + rpe),y0,-2*a0**2 + 2*a0 + rpe,a1,a0
33,1.0726442,2*a0*y0 + rpe + y0*(2*a0 + rpe),y0,-2*a0**2 + 2*a0 + rpe,a1,a1 + rpe
35,1.0716472,2*a0*y0 + rpe + y0*(2*a0 + rpe),2*y0 + 0.227,-2*a0**2 + 2*a0 + rpe,-1.50,a1
39,1.0671521,2*a0*y0 + rpe + y0*(2*a0 + rpe),-a0 + 2*y0,-2*a0**2 + 2*a0 + rpe,a1,a0 + a1 + y0
41,1.0665877,2*a0*y0 + rpe + y0*(2*a0 + rpe),-1.26,-2*a0**2 + 2*a0 + rpe,a1**2 + 2*a1,a0 + a1 + rpe
43,1.0631938,2*a0*y0 + rpe + y0*(2*a0 + rpe),y0,-2*a0**2 + 2*a0 + rpe,a1**3,a0*(a0*(a0 + a1) + a0)
47,1.061719,2*a0*y0 + rpe + y0*(2*a0 + rpe),-a0 + 2*y0,-2*a0**2 + 2*a0 + rpe,a1,a0*(y0*(rpe + 0.135) + y0) + a0 + y0
