Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
11,2.2078052,0.972*y0,rpe,2*a1,a0*y0,y0
13,1.5890968,y0,-a1 + rpe,a1 + rpe*(a1 + 0.139),y0,-0.390
15,1.2327259,a0**2,rpe*y0,a1*rpe + a1,0.210,a1*y0
17,1.1551772,a1 + y0,-0.385*a1 + 0.385*rpe*y0,2*a1,a1,a0*a1
19,0.8892127,a1,-a1 + rpe*y0,a1*(a1 + rpe + 0.205) + a1,a1*y0,rpe
21,0.87268674,a1,-0.385*a1 + 0.385*rpe*y0,a1**2*(a0 + rpe) + 2*a1,y0,a1
27,0.8573355,a1,-a1*(a1 + y0) - 1.08*a1 + rpe*y0,a1*(a1 + rpe + 0.139) + a1,a0,rpe
33,0.855327,a0**3,-0.148*a1 + 0.148*rpe*y0,a1*(a1**2 + 2*a1 + rpe) + a1,-a0 + rpe,a0 + rpe
37,0.84711856,a0**3 + rpe,-0.148*a1 + 0.148*rpe*y0,a1*(a1**2 + 2*a1 + rpe) + a1,y0,2*a0 + rpe - 0.5
45,0.847111,a0**3 + 2*rpe,-0.148*a1 + 0.148*rpe*y0,a1*(a1**2 + 2*a1 + rpe) + a1,-a0 + 0.21*a1*y0,2*a0 + rpe - 0.5
