Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,3.9937358,a1,-1.16,rpe
5,2.2413917,0,y0,a0
7,1.7930684,y0,2*rpe + y1,-0.0305
11,1.6034894,a1,-1.16*rpe*y1,a1*rpe
13,1.2286689,-1.52,rpe*(a0 + a1 - y0),a1*(rpe - 0.284)
15,1.2018979,a1,-3.22*rpe*y1,2*a1*(rpe - 0.284)
17,1.0031586,a0,-1.61*y1*(rpe - 1.61),a1*rpe - 0.486*a1 - 0.239
19,0.90894264,rpe*(a1 - y1) - 0.132*rpe + 2*y1,a1,a0*(rpe - 1.1)
21,0.8971348,a1 + rpe*(-y1 - 0.317) + 2*y1,a1,a0*(2*rpe - 2.21)
23,0.8665359,rpe*(a1 - y1) - 0.132*rpe + 2*y1,a1,a0*(2*rpe - 1.79)
31,0.8522857,rpe*(a1 - y1) - 0.132*rpe + 2*y1,2*a1,a0*(3*rpe - 2.84)
