Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
11,2.6761332,rpe*y1,-0.202,a0 + rpe,-0.374*y1,a1
15,2.109838,rpe*y0,y0,2*a0,a0*y0*y1,y1**2
17,1.9598492,rpe*y0,a0 + y0,0.675*a0 + 0.22,y1,a0*y1
19,1.9433911,rpe*(y0 - 0.0125),a0**2,0.675*a0 + 0.22,a0*a1,y1
21,1.785169,rpe**2*y0 + 2*y1,2*a1,-2.62*a0,a0*a1,rpe
23,1.7831588,rpe**2*y0 + 2*y1,a1 + y1,-2.62*a0,a1 + rpe - 0.146,rpe
25,1.7661006,rpe**2*y0 + 2*y1,-0.209,-2.42*a0,a1 + 1.59*rpe*y1 + 0.165,y0
27,1.7643474,rpe**2*y0 + 2*y1,a1*y1 + a1,-2.42*a0,a1 + 1.59*rpe*y1,rpe
29,1.7484963,rpe**2*y0 + 2*y1,2*a1 + y1,0.12 - 2.42*a0,a1 + 1.59*rpe*y1,rpe
35,1.7480532,rpe**2*y0 + 2*y1,2*a0 + a1,-2.86*a0,2*a1 + rpe,y0
37,1.7426679,rpe**2*y0 + 2*y1,2*a1,-2.86*a0,a1*y0 + 2*a1,rpe + y1
41,1.7368535,rpe**2*y0 + 2*y1,2*a1 + y1,-2.57*a0,a1 + 3*rpe*y1,a1**2
49,1.7345439,rpe**2*y0 + 2*y1,a0*a1 + a0 + a1,-2.86*a0,2*a1 + 2*rpe*y1 + rpe,a1 + y0 - 0.474
