Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
5,2.6891446,rpe,-0.157,a0,-2.56,a1
5,2.6891446,rpe,-0.157,a0,-2.56,rpe
9,1.7878537,rpe*y0,-0.157,2*a0,-2.56,a1
11,1.5049664,rpe*(y0 - 0.911),-0.300,2*a0,-1.79,a1
13,1.4333364,rpe*(y0 - 0.911),-0.157,2*a0 + a1,-0.895,a1
15,1.3978889,rpe*(a0 + y0 - 0.911),-0.157,2*a0 + a1,-2.56,rpe
19,1.3978071,rpe*(a0 + y0 - 0.911),-0.157,2*a0 + a1,a0 - 3.45,a1
23,1.3950746,rpe*(a0 + y0 - 0.911),-0.157,2*a0 + a1,a0 - 3.45,2*a1 - rpe
33,1.3562021,rpe*(y0 - 0.787),-0.512*a0*(a0 + rpe),a0**2*a1 + 2*a0 - 0.586,rpe*(a1 + y0),rpe*y0
37,1.3494201,rpe*(y0 - 0.676),-0.148*a0*(a0 + y0),2*a0 + a1*(a0 + 0.228) - 0.489,-1.50,2*y0
45,1.3442581,rpe*(y0 - 0.676),-0.148*a0*(a0 + 2*y0),2*a0 + a1*(a0 + 0.228) - 0.489,rpe*y0**2 - 0.751,rpe + 2*y0 - 1.87
