Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,1.0666063,y1,a1,a1
3,1.0666063,a0,y1,a0
7,0.69123894,rpe*y0,0.759,a0 - 0.702
7,0.69123894,rpe*y0,1.52,a0 - 0.702
9,0.46586287,rpe*(y0 + y1),y0,a0 + a1
11,0.45706058,rpe*(a1*y0 + y1),1.52,a0 - 0.807
13,0.4466736,a1*rpe*(a1*y0 + y1),1.34,a0 - 0.702
15,0.43319672,rpe*(a1*y0 + 2*a1*y1),0.990,a0 - 0.807
19,0.41975635,rpe*(a1**2*y0 + a1*(a1*y1 + y1)),1.65,a0 - 0.771
31,0.4195048,a1*rpe*(a1**2*y1 + a1*y0 + y1),a1*(a0*y0 + 1.52) + 1.52,a0 - 0.807*a1
37,0.41918498,a1*rpe*(a1**2*y1 + a1*y0 + y1),y0*(a0**2*a1 + 0.119) + 1.87,a0 - 0.807*a1
