Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
9,1.3495016,rpe*y0,rpe,a0,a1 - 1.08,y1
11,1.3483242,rpe*y0,a1 + y0,a0,a1,rpe + y1
13,0.99293864,rpe*y0,y0**2,1.94*a0,y0 + y1,y0
15,0.7306355,rpe*y0 - 1.76*y1,y0,2*a0,y0 + y1,y0
17,0.72932553,rpe*y0 - 1.76*y1,y0,1.94*a0,y0 + y1,a1 + y0
19,0.68668944,a1*rpe*y1 + rpe*y0 - 1.76*y1,y1,1.94*a0,y0,rpe
21,0.66397834,a1*rpe*y1 + rpe*y0 - 1.76*y1,y1,2*a0,2*y0,rpe
23,0.6539793,a1*rpe*y1 + rpe*y0 - 1.76*y1,y1,2*a0,2*y0 + y1,rpe
25,0.6422112,a1*rpe*y1 + rpe*y0 - 1.76*y1,y1,2*a0,3*y0 + y1,y0
29,0.64152825,a1*rpe*y1 + rpe*y0 - 1.76*y1,y1,2*a0,4*y0 + 2*y1,rpe
