Complexity,Fitness,Equation 0,Equation 1,Equation 2
5,1.9803019,a0,-1.58*y0,rpe
7,1.9775085,rpe + 0.226,a1,2*rpe
9,1.7218416,y0,a0,a0*(a0 - rpe) - 0.574
15,1.4940615,rpe*(a0 + y0),a0 + rpe,3.43*a0 + rpe
21,1.4281011,rpe*(-0.226*a0*rpe + a0 + 1.12*y0),a0,3.43*a0 + rpe
21,1.4281011,rpe*(-0.226*a0*rpe + a0 + 1.12*y0),a1,3.43*a0 + rpe
21,1.4281011,rpe*(-0.226*a0*rpe + a0 + 1.12*y0),rpe,3.43*a0 + rpe
23,1.4141012,2*rpe*(a0 + y0),-rpe - 0.209,a0*a1 + 2*a0 + a1*rpe
25,1.3886367,rpe*(-0.226*a0*rpe + a0 + y0),0.268,a0*(a0 + a1) + 3.43*a0 + rpe
27,1.3558832,2*rpe*(a0 + y0),-rpe - 0.209,2*a0*a1 + 2.27*a0 + a1*rpe
31,1.2775261,rpe*(-0.226*a0*rpe + y0),-2*rpe - 0.209,2*a0*a1 + 2.27*a0 + a1*rpe
