Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
7,3.0696077,-0.0493,a1,a0**2,y1,a1
13,0.9508668,a1 + rpe - 0.215,a0*a1,-0.623*a1,a1,a1
15,0.52879214,a1 + rpe - 0.215,-rpe*y0 + y1,-0.623*a1,1.19,a1
17,0.52449393,a1 + rpe - 0.215,-rpe*y0 + y1,-0.623*a1,0.0,rpe**2
23,0.5183206,rpe + y1,-a0**2*rpe*y0 + y1,-0.623*a1,2*a1 + y1,rpe*y0
25,0.48933947,2*y1,-a0*rpe - rpe*y0 + y1,-0.623*a1,rpe + 0.259,rpe**2*y0*y1
27,0.36817092,a0 + rpe + 2*y1 - 0.215,-a0*rpe*y0*(a0 - y1) + y1,-0.623*a1,y0,y0*y1
29,0.36527508,2*rpe + 4*y1,-a0*rpe*y0*(a0 - y1) + y1,-0.623*a1,-1.82,y0 + y1
35,0.33287725,2*rpe + 4*y1,-a0*rpe*y0*(a0 - y1) + y1,-0.623*a1*(a1 + 1.86),y1**2,a0 + y1
37,0.3328765,a0 + rpe + 2*y1,-a0*rpe*y0*(a0 - y1) + y1,-0.623*a1*(a1 + 1.86),2*y0*y1,y0*y1**2 + y0
41,0.33270854,2*rpe + 4*y1,-a0*rpe*y0*(a0 - y1) + y1,-0.623*a1*(a1 + 1.86),y1*(a1 + 0.17*y0*y1),a0 + y1
43,0.33087063,2*rpe + 5*y1,-a0*rpe*y0*(a0 - y1) + y1,-0.623*a1*(a1 + 1.86),0.17*y1**2,2*a1 + y1**2
