Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,2.040431,y0,y0,-0.129
7,1.4475064,y1,rpe*y0,a1 + 0.139
9,1.1483692,a0,rpe*(y0 + y1),a1 - 0.822
13,1.1232742,a0 + y0,(rpe + y1)*(y0 + y1),a1 - 0.822
13,1.1232742,a0 + rpe,(rpe + y1)*(y0 + y1),a1 - 0.822
15,1.0782489,y0,rpe*(-y0 - 0.614) + 2*y1,-1.85*a1 - 0.756
17,1.0636545,rpe*(y0 + y1 - 0.215),-0.126*y0*y1,a0 + 2*a1
19,1.0327073,rpe*(y0 + 2*y1),-0.126*y0*y1,a0 + 2*a1 - 0.0952
21,0.9961519,rpe,rpe*(-y0 - 0.614) + 2*y1,(2*a0 - 0.25*a1)*(a1 + 0.408)
23,0.9792969,rpe,rpe*(-y0 - 0.614) + 2*y1,(a1 + 0.408)*(a0 + 0.75*a1 - 0.25)
27,0.9646055,rpe*(0.818*y0 + 3*y1),a0*y0**2*y1,a0 - a1 + 0.0952
29,0.85471106,rpe*(a0 + 0.818*y0 + 2.82*y1),a0*y0**2*y1,2*a0 - 2*a1
31,0.8217747,rpe*(a0 + 0.818*y0 + 2.82*y1),a0*y0**2*y1,2*a0 - 2*a1 + 0.0865
37,0.8027669,rpe*(a0 + 0.818*y0 + 2.82*y1),a0*y0*y1*(a1 + y0),-a0**2*a1 + 2*a0 - a1 + 0.0952
