Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
9,1.1483364,a0,2*a1,0.140,a0 + y0,a1
15,0.98117954,a0 + y1,rpe + y1,0,a0*rpe,2*a0
17,0.96441686,rpe,a1*y0,-0.0267*a0,2*y0,a0*rpe*y1
19,0.9637389,0.295*y1,1.78*a0,-0.0283*a1,a0*(rpe*y1 + y0),a1*rpe
21,0.8974426,2*rpe,a0 - 4.06*a1 + y1 + 0.353,a1*(rpe - 0.231),a1,2.31
23,0.70282114,2.56*rpe*y1,-y0 + y1,-2*a0*rpe + a0,3.71,a1 + y1
25,0.37570676,y1*(3.56*rpe - 1.9),rpe,-2*a0*rpe + a0,y1 - 1.88,y0
27,0.37048703,y1*(a0 + 3.56*rpe - 1.9),a0,-1.38*a0*rpe + a0,-1.88,a1 + y0 + 0.954
29,0.36898366,y1*(9.09*rpe - 3.81),0.693,-1.38*a0*rpe + a0,3.98,0.759*y1
33,0.35498503,y1*(2*a1 + 5.11*rpe - 1.9),a0*y0 - a1,-1.38*a0*rpe + a0,y1,y0 + 0.593
37,0.35465986,y1*(2*a1 + 5.11*rpe - 1.9),a0*(-a0*rpe + y0) - 2*a1,-2*a0*rpe + a0,-2.12,rpe + y1
39,0.3513626,y1*(2*a1 + 5.11*rpe - 1.9),a0*y0 - 2*a1,-1.38*a0*rpe + a0,-3.76,1.34
41,0.34337807,y1*(2*a1 + 5.11*rpe - 1.9),a0*(-a0*rpe + y0) - 2*a1,-1.38*a0*rpe + a0,-1.88,rpe + y0 + y1
43,0.34295666,y1*(2*a1 + 5.11*rpe - 1.9),a0*(-a0*rpe + y0) - 2*a1,-1.38*a0*rpe + a0,-5.64,0.759*rpe + 0.759*y1
47,0.3425085,y1*(2*a1 + 5.11*rpe - 1.9),a0*(-a0 + y0) - 2*a1,-1.38*a0*rpe + a0,2*a1 - 4.0,rpe + 0.759*y1 + 0.576
51,0.34074205,y1*(2*a1 + 5.11*rpe - 1.9),a0*(-a1*(-a0*rpe + y0) + y0) - 2*a1,-1.38*a0*rpe + a0,a0 - 1.88,rpe + 0.759*y0 + 0.759*y1
