Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,2.148478,-0.789,rpe,a1
7,1.6117177,rpe,a1 + rpe,a0*rpe
9,1.2347362,-0.789,rpe*y0 - 0.233,2*a1
9,1.2347362,y0,rpe*y0 - 0.233,2*a1
11,1.1726971,-0.780,rpe*y0 + rpe,2*a1 + 0.211
13,1.1228774,y0,rpe*(a1 + y0) - 0.233,2*a1 + rpe
15,1.0289494,y0,rpe*(a1 + y0) - 0.233,2*a1 + rpe + 0.325
17,0.94498926,rpe*y0,rpe + 0.112,a1*(2*a0 + rpe)*(a1 - 1.06)
19,0.9272887,rpe*(a0 + y0),1.04 - y0,a0*a1*(a0 + a1) + a0*rpe
21,0.8367165,a1 + rpe*y0,0.448*rpe,-2.94*a1**3*(2*a0 + rpe)
23,0.8025272,a1 + rpe*y0,0.448*rpe,a1**3*(2*a0 + rpe)*(a1 - 1.06)
