Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
11,1.8227838,a0,a0,-0.000421*a1,2*a0,a1 + 0.222
19,1.5922871,-0.305,1.09*rpe*y0,a1*(0.466 - 0.388*rpe),y0,2*a0*a1
23,1.4890279,rpe - 1.64,1.09*a1*rpe + 1.09*rpe*y0,a1*(0.466 - 0.388*rpe),-0.658,a0*rpe
25,1.4842072,y0,1.09*a1*rpe + 1.09*rpe*y0,a1*(0.466 - 0.388*rpe),rpe**2,a1**2*rpe
27,1.4777333,0.989,1.19*a1*rpe + 2.29*rpe*y0,2.72*a1*(0.0769 - 0.064*rpe),rpe,rpe
29,1.4300481,-1.83,2.39*a1*rpe + 1.09*rpe*y0,2.76*a1*(0.0769 - 0.064*rpe),0,2.71
31,1.4215238,-0.914,2.29*a1*rpe + 1.19*rpe*y0,2.98*a1*(0.0769 - 0.064*rpe),2*rpe,a1 + 1.35
33,1.3316948,a0,1.19*a0*rpe + 1.09*a1*rpe + 1.19*rpe*y0,a1*(0.0769 - 0.064*rpe)*(3.29 - 0.388*rpe),a0,y0
35,1.321301,a0,1.19*a0*rpe + 1.09*a1*rpe + 1.19*rpe*y0,a1*(0.0769 - 0.064*rpe)*(3.29 - 0.388*rpe),y0**2,a0
39,1.3183942,a0,1.19*a0*rpe + 1.09*a1*rpe + 1.19*rpe*y0,a1*(0.0769 - 0.064*rpe)*(3.29 - 0.388*rpe),0.457*y0**2,0
47,1.3149878,a0,1.19*a0*rpe + 1.09*a1*rpe + 1.19*rpe*y0,a1*(0.0769 - 0.064*rpe)*(3.29 - 0.388*rpe),-rpe - y0**2 + 2*y0 + 0.209,-a0
49,1.3136009,a0,1.19*a0*rpe + 1.09*a1*rpe + 1.19*rpe*y0,a1*(0.0769 - 0.064*rpe)*(3.29 - 0.388*rpe),-rpe - y0**2 + 2*y0 + 0.209,0
