Complexity,Fitness,Equation 0,Equation 1,Equation 2
5,3.0106826,0.157,a1 + y1,rpe
7,1.6762671,rpe*y0 - 0.359,-1.35,a0
11,1.568176,-0.359*a0 + rpe*(y0 + 0.943),a1,a0
13,1.5461535,-0.21*a0 + rpe*(y0 + 0.943),y0,a0
13,1.5461535,-0.21*a0 + rpe*(y0 + 0.943),a1,a0
15,1.5009345,0.943*rpe*y0,rpe - y0 - y1,2*a0 + a1
17,1.4834552,-0.444*a1*y1 - 0.444*rpe*y0 + y1,rpe - 0.669,-a0 - 0.0379
19,1.4695348,-0.444*a1*y1 - 0.444*rpe*y0 + y1,-2.34,-1.03*a0 - 0.0154
21,1.456331,y1,0.53*rpe*y0,(a1 - 0.697)*(2*a1 + rpe)**2
21,1.456331,a1,0.53*rpe*y0,(a1 - 0.697)*(2*a1 + rpe)**2
23,1.3723831,-1.27,rpe*(0.292*y0 + 0.154),a1*(2*a1 + rpe)**2
23,1.3723831,2.11,rpe*(0.292*y0 + 0.154),a1*(2*a1 + rpe)**2
23,1.3723831,a1,rpe*(0.292*y0 + 0.154),a1*(2*a1 + rpe)**2
25,1.3619989,-0.633,0.632*rpe*(0.292*y0 + 0.324),a1*(2*a1 + rpe)*(3*a1 + rpe)
25,1.3619989,0.943,0.632*rpe*(0.292*y0 + 0.324),a1*(2*a1 + rpe)*(3*a1 + rpe)
25,1.3619989,0.943,0.632*rpe*(0.292*y0 + 0.324),a1*(2*a1 + rpe)*(3*a1 + rpe)
25,1.3619989,y0,0.632*rpe*(0.292*y0 + 0.324),a1*(2*a1 + rpe)*(3*a1 + rpe)
25,1.3619989,a1,0.632*rpe*(0.292*y0 + 0.324),a1*(2*a1 + rpe)*(3*a1 + rpe)
25,1.3619989,rpe,0.632*rpe*(0.292*y0 + 0.324),a1*(2*a1 + rpe)*(3*a1 + rpe)
27,1.3237383,rpe*y0 - 0.308,-2*a0 + rpe*y0,2*a0 + a1*rpe + a1 + 0.309*rpe + 0.189
29,1.292249,0.0947*a1*rpe + rpe*y0 - y1,rpe*y0,2*a0 + a1*rpe + a1 + 0.309*rpe
35,1.1960211,rpe*y0 + 0.0291*rpe - 0.0291*y0 - y1,-a0 + rpe*y0 + y0 + y1,2*a0 + a1*rpe + a1 + 0.309*rpe + 0.189
39,1.1385739,-0.308*a1*rpe + rpe*y0 - y1,-3.41*a0 + rpe*y0,3*a0 + a1*rpe + a1 + 0.309*rpe
