Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,2.2199075,-0.571,y0,rpe
3,2.2199075,y0,a1,rpe
7,1.7704715,rpe*y0,a0,2*a1
9,1.6342785,rpe,a0,a1*rpe - a1 - rpe
11,1.4546452,rpe*y0 + rpe - y0,a1,a0*rpe
13,1.4055996,rpe,a0*rpe*y0 - a0*rpe,-2.55*a1
19,1.3855152,rpe*y0 + rpe - y0,y0,2*a0*rpe**2*(rpe + 0.436)
21,1.3449538,rpe - 1.37,-0.586*a0**2*rpe*y0,a1*(a0 + rpe) - a1 - rpe
23,1.3283688,-a0 + rpe*y0 + rpe - y0,a0 - y0,2*a0*rpe**2*(rpe + 0.436)
25,1.2758684,-0.717,y0*(a1 + rpe*(y0 + 0.142) + y0),a1*(rpe + 0.222) + a1*(1.43*rpe - 0.637)
27,1.2330537,-rpe*y0 + y0,-0.0469*a0*y0 + a1 - y0,rpe*(3*a1 - rpe)*(rpe + 0.436)
31,1.2309111,a1 + rpe,a1 - 0.0469*y0*(a1 - y0) - y0,rpe*(3*a1 - rpe)*(rpe + 0.436)
31,1.2309111,a1 + rpe*y0 - y0,a1 - 0.0469*y0*(a1 - y0) - y0,rpe*(3*a1 - rpe)*(rpe + 0.436)
33,1.2288476,2*a1 + rpe - y0,a1 - 1.0*y0,rpe*(rpe + 0.436)*(a0 + 2*a1 - rpe)
35,1.2234402,2*a1 + rpe - y0,a1 + 0.0022*y0**2 - y0,rpe*(rpe + 0.436)*(a0 + 2*a1 - rpe)
37,1.2222795,2*a1 + rpe*y0 + 2*rpe - 2*y0,a1 - y0 + 0.0772,rpe*(rpe + 0.436)*(a0 + 2*a1 - rpe)
43,1.2215761,2*a1 + rpe*y0 + rpe - y0,a1 + 0.0022*y0**2 - y0,rpe*(rpe + 0.436)*(a0 + 2*a1 - rpe)
