Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
11,2.6124206,a0 - 1.01,rpe*y0,-0.234*a1,a1,y0
13,2.0297418,a1 + y0,-a0 + rpe*y0,a1 - 1.06,-1.43,0.982
15,1.5312306,rpe + y0,rpe*(-1.18*a0 + y0),a1,a0 + rpe,a0
17,1.4260652,rpe + y0,rpe*(-1.18*a0 + y0),2*a1,a0 + 0.845,y0
19,1.4247118,rpe - 0.818,rpe*(-1.18*a0 + y0),2*a1 + 0.528,rpe**2,y0
21,1.3867705,a0 + rpe,rpe*y0,a1*rpe + 3*a1 - 0.743,-y0 - 0.407,a1
21,1.3867705,a0*rpe,rpe*y0,a1*rpe + 3*a1 - 0.743,-y0 - 0.407,a1
25,1.3791099,rpe*y0 + rpe,-0.744*a1**2*y0,2*a0 + 2*a1,a0 - y0,a0 - a1
27,1.3623921,rpe + 2*y0,rpe*(-1.18*a0 + y0),2*a1 + 0.528,4.19*a1 - 4.19*y0,-0.475
29,1.3556769,rpe + 2*y0,rpe*(-1.18*a0 + y0),2*a1 + 0.528,2.1*a0**2 - 2.38*rpe,y0 - 0.475
31,1.3490946,a0*y0,-1.04*a1*rpe*y0 + rpe*y0,5*a1 + rpe,-1.88*rpe,-1.59*rpe
33,1.3437362,rpe + 2*y0,1.04*a1*y0 + rpe*y0,4*a1 + rpe,a1*(a0**2 - 1.14*rpe),a0
35,1.3277512,rpe*(a1 + y0) + 2*y0*(a0 + rpe),0.000104,2.99*a0 + rpe - 0.274,0.0195*y0 + 2.57,a1
37,1.3144702,2*y0*(a0 + rpe),1.24,2.99*a0 + rpe - 0.325,rpe*(rpe - 0.0963),a0**2*y0
39,1.3104954,y0**2,a1*(a1 + 2*rpe + y0) + 1.04*rpe*y0,a1*rpe + 3*a1,-0.0219*a0*y0,a0*y0
41,1.3003793,2*y0*(a0 + rpe),a1 + y0,2.99*a0 + rpe - 0.274,rpe*(2*rpe + 0.0195*y0 + 2.57),a1*rpe*y0
43,1.2894331,a1*(a0 + rpe) + 2*y0*(a0 + rpe),0.0102*a0*a1**2,2.99*a0 + rpe - 0.274,a0*a1 + a0*rpe,a1
45,1.2761993,2*y0*(a0 + rpe),y0,2.99*a0 + rpe - 0.274,rpe*(2*rpe + 2.02*y0 + 2.57),2*a0**2*y0
