Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
9,2.3133292,-1.88,2*rpe,a0*a1,-0.946,y0
13,1.707942,a1,-0.654*rpe + y0,-0.313*rpe,a0 + a1,a0
21,1.2267251,y0 + 0.792,2*rpe,-0.448*a0*rpe,0.0943,a0**2*y0**2
23,1.2252288,y0 + 0.792,2*rpe**2,-0.398*a0*a1**2*rpe,-0.946*a0,a0
27,1.2229872,y0 + 0.792,2*rpe**2,-0.398*a0*a1**2*rpe,a0 + 0.0943,2*a0 + 1.43
29,1.1609967,a0*rpe + a0 + a1 - y0,rpe*y0 + y0,0.642*a0 + rpe*(a1 - 0.625),a0,y0 - 0.909
31,1.0886441,2*a0*rpe + 2*a1 - 2*y0,rpe*y0,0.642*a0 + rpe*(a1 - 0.625),a0,y0
37,1.0802877,-1.95*a0 + a1 + 0.394*rpe,-0.107*rpe*y0*(a1 + rpe - 0.0439),a0*a1**2*rpe + a1 + 0.708,rpe,2*a0
39,1.0386331,-1.95*a0 + a1 + 0.394*rpe,-0.107*y0*(a1 + rpe)*(a0 + rpe - 0.368),a0*a1**2*rpe + a1 - 0.0542*rpe + 0.679,a1,a1
41,1.0306411,-1.95*a0 + a1 + 0.394*rpe,-0.107*y0*(a0 + rpe)*(2*a0 + 2*rpe),a0*a1**2*rpe + a1 - 0.0542*rpe + 0.679,rpe,a0
45,1.0268735,-1.95*a0 + a1 + 0.394*rpe,-0.107*y0*(a0 + rpe)*(2*a0 + 2*rpe),a0*a1**2*rpe + a1 - 0.0542*rpe + 0.679,a1**3,y0
47,0.9913528,a0*rpe + a1 - y0,y0*(2*rpe + y0) + y0,0.642*a0 + rpe*(a1 - 0.679),a0,-0.336*a1**2
49,0.99094284,a0*rpe + a1 - y0,y0*(2*rpe + y0) + y0,0.642*a0 + rpe*(a1 - 0.679),a0,a1*y0*(rpe - 0.909) + y0
53,0.9887878,a0*rpe + a1 - y0,y0*(2*rpe + y0) + y0,0.642*a0 + rpe*(a1 - 0.679),2*a0,-1.34*a1**2*(rpe - 0.909) - 1.34
55,0.98365736,a0*rpe + a1 - y0,y0*(2*rpe + y0) + y0,0.642*a0 + rpe*(a1 - 0.625),a0,1.79*a1**2*y0*(y0 - 0.909) - 1.34
55,0.98365736,a0*rpe + a1 - y0,y0*(2*rpe + y0) + y0,0.642*a0 + rpe*(a1 - 0.625),a0,1.79*a1**2*y0*(y0 - 0.909) - 1.34
63,0.98303354,a0*rpe + a1 - y0,y0*(2*rpe + y0) + y0,0.642*a0 + rpe*(a1 - 0.625),7*a0,a1*(a1 + y0)*(rpe - 0.909) - 1.34
