Complexity,Fitness,Equation 0,Equation 1,Equation 2
5,2.6617422,1.05,a0*a1,a1
7,1.4021825,a1,rpe*y0,2*a1
9,1.3930123,1.22*rpe*y0,y0,2*a0
11,1.3864763,a1*rpe*y0,rpe**2,2*a0
13,1.2635324,rpe*y0,a0**2,3*a0 + rpe
13,1.2635324,rpe*y0,a0*rpe,3*a0 + rpe
15,1.2509279,rpe*(a0 + y0),1.17,4*a0 + rpe
17,1.2379268,-2*a1 + 2*y0,rpe*y0,-a0 + a1
17,1.2379268,-2*a1 + 2*y0,rpe*y0,-a0 + a1
19,1.228916,-a1 + 2*y0,rpe*y0,-a0 + a1
21,1.2036197,a1 + 2*y0,rpe*y0,a1*(-a0 + a1)*(3*a1 + rpe)
23,1.0901142,a1 - rpe*y0,rpe*y0 + y0,a1*(-a0 + a1)*(3*a1 + rpe)
23,1.0901142,a1 - rpe*y0,rpe*y0 + y0,a1*(-a0 + a1)*(3*a1 + rpe)
23,1.0901142,a1 - rpe*y0,rpe*y0 + y0,a1*(-a0 + a1)*(3*a1 + rpe)
27,1.0784097,2*a1 - rpe*y0 + y0,rpe*y0 + y0,a1*(-a0 + a1)*(3*a1 + rpe)
29,1.0710161,a1 - rpe*y0 - rpe + y0,rpe*y0,a1*(-a0 + a1)*(3*a1 + rpe)
31,1.0278783,a1 - rpe*y0 - rpe,2*rpe*y0,a1*(-a0 + a1)*(-a0 + 3*a1 + rpe)
37,1.023067,a1 - rpe*y0 - rpe,rpe*(a0 + 3*y0 - 0.462),(-a0 + a1)**2*(3*a1 + rpe)
