Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
11,173.77103,a1,a1**2,rpe,a1*rpe,a0*y1
13,1.6502786,rpe*y0,y1,0.0144,0.492*y0 + 0.492*y1,rpe**2
17,1.5512707,a0*rpe*y1,2*rpe*y0,0.0641*a1,a1 + y1,y0
19,1.2701523,y0,-a1 + y1,4*a1*rpe,1.45e-5*y0,a0
23,1.0227785,a1*rpe - y1,y1,(a1 - 1.64)*(a0*rpe - 1.04*a0),a1,0
25,0.80488455,a1*rpe - y1,-a1 + y1,(a1 - 1.64)*(a0*rpe - 1.04*a0),a0,a0*y0
27,0.78126097,2*a1*rpe - y1,-a1 + y1,(a1 - 1.64)*(a0*rpe - 1.04*a0),a0 + a1,y0
29,0.7698059,2*a1*rpe - y1,-a1 + y1,(a1 - 1.64)*(a0*rpe - 1.04*a0),a1*(a0 + y0),y0
33,0.7694391,2*a1*rpe - y1,-a1 + y1,(a1 - 1.64)*(a0*rpe - 1.04*a0),a0 + 0.572,2*a1
39,0.7540839,rpe*(a1 + y0) - 2*y1,a1*y0 - y0*y1*(a1*y0 + y1) + y1,(a1 - 1.64)*(a0*rpe - 1.04*a0),a1,a0
45,0.7518478,rpe*(a1 + y0) - 2*y1,a1*y0 - y0*y1*(a1*y0 + y1) + y1,-2.04*a0*rpe + 2.11*a0,a1*y1,a0**4
49,0.7493211,rpe*(a1 + y0) - 2*y1,a1*y0 - y0*y1*(a1*y0 + y1) + y1,(a1 - 1.64)*(a0*rpe - 1.04*a0),a1*y1,a0**3*y0**2
49,0.7493211,rpe*(a1 + y0) - 2*y1,a1*y0 - y0*y1*(a1*y0 + y1) + y1,(a1 - 1.64)*(a0*rpe - 1.04*a0),a1*y1,a0**3*y0**2
53,0.7428744,rpe*(a1 + y0) - 2*y1,a1*y0 - 2.33*y0*y1**2 + y1,(a1 - 1.64)*(a0*rpe - 1.04*a0),2*a1*y1 + 3*a1 - 0.0027,a0
55,0.7424294,rpe*(a1 + y0) - 2*y1,a1*y0 - 2.33*y0*y1**2 + y1,(a1 - 1.64)*(a0*rpe - 1.04*a0),a1**2 + a1*y1 + 3*a1 - 0.0027,a1*y1
