Complexity,Fitness,Equation 0,Equation 1,Equation 2
5,1.5093191,1.34,0.391*rpe,rpe
9,1.5082674,a0 + rpe,a1*y0,rpe - 0.00646
11,1.3769892,a1 + 0.505*rpe,rpe*y0,2*a1
11,1.3769892,2*a1 + y0,rpe*y0,2*a1
15,1.2928755,rpe*(y0 + 1.27),a0 - y0,2*a0 + a1 + rpe
17,1.0971719,0.774*a0 - 0.774*y0 + 0.23,y0,rpe**2*(2*a0 + rpe)
17,1.0971719,0.774*a0 - 0.774*y0 + 0.23,rpe,rpe**2*(2*a0 + rpe)
25,1.0492893,a0 + rpe*y0,2.08*y0,2.59*a0 - 2*a1 + rpe
27,1.0085087,3*rpe*y0,2.78*y0 - 1.36,2*a0 - 2*a1 + rpe
29,1.0018569,a0 + rpe*y0,4.57*y0,2.51*a0 - 2*a1 + rpe
31,0.97017384,a0 + 2*rpe*y0,-1.13*rpe*(a1 + y0) + 1.78*y0,2*a0 - 2*a1 + rpe - 0.197
37,0.94861805,3*rpe*y0,-1.13*y0*(y0 - 2.71) + 1.78*y0,2.28*a0 - 2*a1 + rpe
