Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
13,0.98234147,rpe + y0,rpe*y0,2*a1,rpe,y0**2
19,0.93543184,2*rpe,rpe*y0,2*a1**3,rpe + y0,y0**2
21,0.88738334,-0.816*rpe**2*y0,rpe,2*a0*a1**2,-0.301,rpe
23,0.8842939,-0.101*rpe**2*y0,rpe,-0.633*a0*a1 + a0,rpe - 0.301,y0
25,0.7759801,0.0696*rpe**2 + rpe*(a0 + y0),rpe*(-a0*a1 + a0),a0 - a1,a0*a1,rpe
31,0.77533114,0.0696*rpe**2 + rpe*(a0 + y0),rpe*(-a0*a1 + a0),a0 - a1,a1*(y0 + 1.63),2*rpe*y0
33,0.7562095,a0 + 3*rpe*(a0 + y0),(2*rpe + 0.388)*(-a0*a1 + a0),a0 - a1 - 0.163,2*rpe**2,rpe
35,0.72489846,a0 + 5*rpe*(a0 + y0),a0*(2*rpe + 0.388),a0 - a1,a0 - y0,2*y0
39,0.71456236,0.0696*rpe**2*(a0 + y0) + rpe*(a0 + y0),rpe*(a0 - a1**2),0.663*a0 - a1,a0*a1*rpe,2*a1*y0
43,0.69407,a0 - 0.0696*rpe**2 + 4*rpe*y0,(2*rpe + 0.388)*(-a0**2*a1 + a0),a0**2*(a0 - a1),-0.819*a0**2*a1,y0
45,0.67153865,a0 - 0.0696*rpe**2 + 4*rpe*y0,(2*rpe + 0.388)*(-a0**2*a1 + a0),a0**2*(1.2*a0 - 1.2*a1),-0.819*a0*a1,y0
