Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
11,7.701068,a0 + rpe,1.36,-0.773*a1 - rpe,0.653,0.0461
13,1.7148068,a1,-0.741,0.146*a0,a1,2.81*rpe + 2.17
15,0.8656632,(a1 + 1.4)*(rpe - 0.612*y0),y0,-0.00143,y0 + 2.09,y0
17,0.8321278,2*y0,2*a1,-0.0185*rpe,a0 - 0.738*rpe + y0,rpe
19,0.8192756,a0*rpe*y0,rpe + y0,-0.0185*a0 - 0.0185*rpe,-0.142*rpe,a0 + rpe
21,0.64407945,rpe,rpe*(-a0*a1 + y0),a1*(2*a0 - a1)*(rpe - 0.409),a1,rpe
23,0.4372295,rpe,rpe*(-a1*(rpe - 0.351) + y0),a1*(-a1 - 1.69)*(rpe - 0.409),rpe,a1 - 9.53
25,0.43155193,rpe,rpe*(-a1*(a0 + 2*rpe - 0.351) + y0),a1*(-a1 - 1.96)*(rpe - 0.409),rpe,a1
29,0.4074816,2*rpe,rpe*(-a1*(a0 + rpe - 0.702) + y0),2*a0*a1*(rpe - 0.409),a0 + rpe,0.0501
35,0.3741509,a1*(a1*y0**2 - a1),rpe*(-a1*(a1 + rpe) + y0),a1*(1.42*a0 - 1.96)*(rpe - 0.409),a0 + rpe,a0*rpe
37,0.37247813,a1*(a1*y0**2 - a1),rpe*(-a1*(a1 + rpe) + y0),a1*(a0 - 1.96)*(rpe - 0.409),-a0 + 2*a1 + 0.656,a0*a1
