Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,2.113812,2.62,rpe,a1
5,2.1122801,1.70,rpe,a0*a1
7,1.7643275,1.70,y1,-2.29*a0*a1
9,1.4140133,rpe*(a1 + y0),rpe,2*a0
11,1.3475674,rpe*y0 + rpe,y0,a0**3
13,1.1473216,1.70,a0*y1 - rpe*y0,-2.29*a0*a1
15,1.0690067,2.62,-rpe*y0 + 0.431*rpe + y1,-2.29*a0*a1
17,1.0541781,1.70,a0*y1 - rpe*y0,-2.29*a0**2*a1 + a0
19,1.0156972,4.33,-0.569*rpe*y0 + y1,-2.29*a0**2*a1
21,1.0068586,9.58,-0.569*rpe*y0 + y1,-2.29*a0**3*a1
31,1.0067418,-a1 + y0 + 3.41,-0.814*rpe*y0 + 1.43*y1,-2.29*a0**3*a1
