Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
11,2.7095652,a0*(a1 + 1.18),a0**2,a1,-0.501,rpe
13,2.1530857,a1 + y0,a0*(0.0478 - rpe),a1*rpe,-0.501,rpe
15,1.2723492,y0*(a0 + rpe)*(a1 + 1.18),a0,2*a0,y0,rpe
19,1.0430641,rpe,rpe*y0 + rpe*y1 - 2*y1,2*a1 + rpe,a1,rpe
21,0.9569322,a0*(y1 - 0.887),rpe*y0 - 2*y1,2*a0 + 2*a1,-2.22,-1.37
23,0.81920743,y0,rpe*y0 - 2*y1,4*a1 + rpe,rpe,-0.691
25,0.75982356,y0,-a0*rpe + rpe*y0 - 2*y1,3*a1 + rpe,y0,-1.37
27,0.7496995,y0,-a0*rpe + rpe*y0 - 2*y1,4*a1 + rpe,rpe,-1.37
31,0.7480912,-y0*y1 + y0,-a0*rpe + rpe*y0 - 2*y1,4*a1 + rpe,rpe,-0.691
35,0.73194486,rpe + 2*y0 + 0.24,-a0*rpe + rpe*y0 - 2*y1,4*a1 + rpe,y0,-1.37*y1
39,0.72196347,a0*rpe + rpe + 2*y0,-a0*rpe + rpe*y0 - 2*y1,5*a1 + rpe,0.0691,y1**2
41,0.71540684,a0*(rpe + y0) + rpe + 2*y0,-a0*rpe + rpe*y0 - 2*y1,5*a1 + rpe,rpe*y0,-2.74
41,0.71540684,a0*(rpe + y0) + rpe + 2*y0,-a0*rpe + rpe*y0 - 2*y1,5*a1 + rpe,rpe*y0,-2.74
43,0.7057196,2*rpe + 2*y0 + 0.721,-a0*rpe + rpe*y0 - 2*y1,3*a1 + rpe + 0.0357,rpe**2*y0,-1.37
47,0.7033804,a0 + 3*rpe + 4*y0,-a0*rpe + rpe*y0 - 2*y1,5*a1 + rpe,a1,0.854*y1 - 1.37
51,0.7007765,a0 + 3*rpe + 4*y0,-a0*rpe + rpe*y0 - 2*y1,5*a1 + rpe,-y0,-1.37*y1 - 1.37
57,0.7005221,2*rpe*y0 - 2.61*y1,y1*(2*rpe + y1*(rpe*y0 + rpe)),4*a0 + a1*rpe + 0.0467,2*a1**2*(a1 + rpe),0.232*a0*a1 + y0
65,0.7003541,2*rpe*y0 - 2.61*y1,9*rpe**2,a0**2*rpe + 3*a0 + 0.466,5*a1**2*(a1 + y0),a0*(a1 + 2*y1) + y1
69,0.70034957,2*rpe*y0 - 2.61*y1,9*rpe**2,a0**2*rpe + 3*a0 + 0.466,5*a1**2*(a1 + y0),a0*(2*a1*y1 + y1) + y1
71,0.70033944,2*rpe*y0 - 2.61*y1,9*rpe**2,a0**2*rpe + 3*a0 + 0.466,5*a1**2*(a1 + y0),a0*(a0*(a0*(y1 + 0.0882) + y1) + y1) + y1
