Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,2.1106424,a1,a0,-0.0975
5,1.8175243,rpe + 1.09,y1,0.0191
7,1.8116069,rpe + 0.194,-1.13*a0,0.0437
9,1.8114907,-a1*rpe + y0,a0 + y1,0.0349
11,1.6764255,-1.72*a0 + 2*y1,y1,a0*rpe
13,1.67613,a0*(rpe - 2.18) + 2*y1,y1,a0*rpe
15,0.919985,-1.03,(-rpe + y1**2)*(y0 + 2*y1),-1.88*a1
17,0.8841752,-1.03,(-rpe + y1**2)*(y0 + 2*y1),2*a0*a1
21,0.8095573,-1.63,(-rpe + y1**2)*(y0 + 3*y1),a1*(2*a0 + rpe)
23,0.721437,-2.79,(-rpe + y1**2)*(y0 + 3*y1),a1*(3.11*a0 + rpe)
25,0.71675295,2*rpe,(-rpe + y1**2)*(y0 + 3*y1),a1*(3.11*a0 + rpe)
27,0.69616306,3*rpe,(-rpe + y1**2)*(y0 + 3*y1),a1*(3.11*a0 + rpe)
29,0.67433417,rpe,(-rpe + y1**2)*(y0 + 3*y1),a1*(7.57*a0 + 3.11*rpe)
35,0.67292213,-0.763*a0*rpe + rpe,(-rpe + y1**2)*(y0 + 3*y1),a1*(4*a0 + 2*rpe - 1.64)
37,0.6669924,a0 + 4*rpe,(-rpe + y1**2)*(y0 + 3*y1),a1*(3*a0 + 2*rpe - 2.58)
43,0.6587794,rpe**2*(a0 - 1.03*rpe**2 + rpe) + rpe,(-rpe + y1**2)*(y0 + 3*y1),a1*(3*a0 + 2*rpe - 2.58)
