Complexity,Fitness,Equation 0,Equation 1,Equation 2
5,3.2589679,0.295*rpe,rpe,a0
7,2.1824737,-0.261,y1,-0.213*a0*rpe
9,1.975775,0.29*rpe*y0,y1,a0 + 0.00572
11,1.9391246,a1*y1,rpe*y0 - y1,a1 + 0.416
13,1.9112692,-0.766*rpe,rpe*y0,a0*a1 + 0.149*a0
15,1.7078515,a0,rpe*y0 - rpe*y1 - 2*y1,8.11*a1
17,1.6769288,a1*rpe,rpe*y0 - rpe*y1 - 2*y1,5.89*a1
19,1.5760407,rpe*y0,-rpe*y1 + y0*(rpe + y1) - 2*y1,5.89*a1
23,1.5696036,0.0238,-rpe*y1 + y0*(rpe + y1) - 2*y1,a1*(5.89 - rpe)
25,1.5688276,a1,-rpe*y1 + y0*(rpe + y1) - 2*y1,a1*(-a1 - rpe + 4.71)
27,1.5688266,a1 + 0.0238,-rpe*y1 + y0*(rpe + y1) - 2*y1,a1*(-a1 - rpe + 4.71)
27,1.5688266,0.0238*a1,-rpe*y1 + y0*(rpe + y1) - 2*y1,a1*(-a1 - rpe + 4.71)
27,1.5688266,rpe*y0,-rpe*y1 + y0*(rpe + y1) - 2*y1,a1*(-a1 - rpe + 4.71)
29,1.5626385,0.0238,-rpe*y1 + y0*(rpe + y1) - 2*y1,a1*(5.89 - a1)
35,1.5626242,0.000568*a1**2,-rpe*y1 + y0*(rpe + y1) - 2*y1,a1*(5.89 - a1)
37,1.5522721,0.0238*y0*(rpe**2 + 0.0477) + 0.0477,rpe*y0 - rpe*y1 - 2*y1,a0 + 5.34*a1 + 0.6
