Complexity,Fitness,Equation 0,Equation 1,Equation 2
3,2.3796935,a0,-0.345,a1
7,1.7633009,rpe*y1,a1,-0.313*rpe
9,1.6972985,a0*y0,a0*y0,rpe - 0.787
11,1.472277,y0,-1.21*y0,a1*rpe + a1 - 0.787
13,1.1728673,rpe,y0*(rpe - 0.346),a1*rpe + a1 - 0.787
17,1.1332812,y0*(a1 + rpe),rpe + y1,2*a0 + 0.857*rpe - 1.83
19,1.0828671,y0,-0.867*a1 + y0*(rpe - 0.345) - y1,a1*rpe + a1 - 0.787
19,1.0828671,y1,-0.867*a1 + y0*(rpe - 0.345) - y1,a1*rpe + a1 - 0.787
19,1.0828671,a0,-0.867*a1 + y0*(rpe - 0.345) - y1,a1*rpe + a1 - 0.787
19,1.0828671,a1,-0.867*a1 + y0*(rpe - 0.345) - y1,a1*rpe + a1 - 0.787
19,1.0828671,rpe,-0.867*a1 + y0*(rpe - 0.345) - y1,a1*rpe + a1 - 0.787
23,1.0619651,a0,-0.867*a1 + y0*(rpe - 0.345) - 3*y1,a1*rpe + a1 - 0.787
23,1.0619651,a1,-0.867*a1 + y0*(rpe - 0.345) - 3*y1,a1*rpe + a1 - 0.787
23,1.0619651,rpe,-0.867*a1 + y0*(rpe - 0.345) - 3*y1,a1*rpe + a1 - 0.787
27,1.04231,a0 - 0.321,-a1 + y0*(rpe - 0.345) - 2.87*y1,a1*rpe + 2*a1 - 0.787
33,0.9713839,a0*rpe + a0 + y0 + y1,y0*(rpe - 0.345) - 3.87*y1,a1*rpe + 3*a1
35,0.94214714,a0*rpe + a0 + rpe + y1,y0*(rpe - 0.345) - 3.87*y1,a1*rpe + 4*a1
