Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
11,1.7333677,-1.26*rpe*y0,a0,0.0412,rpe*y1,a1
13,1.4473933,rpe*(y0 - 0.57),rpe*y0,a1,a1,a0 - y1
15,1.2551036,rpe*y0,-0.917,2*a0 - 1.83,a1 + y0,-0.896
17,1.1126345,rpe*(-1.04*y0 - 1.04*y1),0.325 - y1,-a0 - 0.665,a0,a1
21,1.0650861,rpe*(y0 + 2*y1),-0.453,3*a0 - 2.74,a0,0.0610
25,0.94725335,rpe*(-1.04*y0 - 1.04*y1) + y1,a1,a0*(a0 + 0.593*rpe - 0.915) - a0,a1**2,y1
27,0.9469994,rpe*(-1.04*y0 - 1.04*y1) + y1,a1,a0*(a0 + 0.593*rpe - 0.915) - a0,a1**2,2*y1
29,0.89506936,rpe*(y0 + y1) - 1.26*y0**2*y1,y0**2*y1,4*a0,-1.66,a1 + 0.743
31,0.8663541,rpe*(y0 + y1) - 1.26*y0**2*y1,9.12,a0*(a0 - rpe) + 3*a0,0.789,a0 + y0 - y1
35,0.86178493,rpe*(y0 + y1) - 1.26*y0**2*y1,a0*a1,a0*(a0 - rpe) + 3*a0,a0 + 0.545*a1,y1**2
37,0.8610952,rpe*(y0 + y1) - 1.26*y0**2*y1,a0 + y1,a0*(a0 - rpe) + 3*a0,a0 + 0.394*a1 - 0.00468,a0 + 0.936
39,0.8544489,rpe*(y0 + y1) - 1.26*y0**2*y1,a0 + 9.12,a0*(a0 - rpe) + 3*a0,1.55*a0 - 1.02*a1,a1 + y0
41,0.85425764,rpe*(y0 + y1) - 1.26*y0**2*y1,2*a1,a0*(a0 - rpe) + 3*a0,1.55*a0 - 1.02*a1 - 0.803,y0
43,0.8534311,rpe*(y0 + y1) - 1.26*y0**2*y1,a0 + a1,a0*(a0 - rpe) + 3*a0,1.3*a0 - 0.555*a1 - 0.803,rpe
45,0.8530653,rpe*(y0 + y1) - 1.26*y0**2*y1,rpe*y0*(y0 + y1)**2,2.02*a0 + a1,y0*y1,a1*(a1 + y1) + a1
47,0.8521295,rpe*(y0 + y1) - 1.26*y0**2*y1,a0*a1,a0*(a0 - rpe) + 3*a0,1.3*a0 - 0.555*a1 - 0.803,2*rpe*y1
51,0.84834063,rpe*(y0 + y1) - 1.26*y0**2*y1,rpe*y0**2*(y0 + y1),4*a0 + 2*a1 - 0.027,-1.08,a1 + y1*(a1 + y1)
