Complexity,Fitness,Equation 0,Equation 1,Equation 2,Equation 3,Equation 4
11,1.3434551,y0*y1,a0,0.0116,rpe*y1,2*y0
13,1.0764034,rpe*y1,rpe**2,0.201*a0,a0,2*y0
15,1.0746865,rpe*y1,rpe,0.201*a0,a1*y1,3*y0
17,0.9696684,a0*a1*rpe,rpe*(a0 + y1),0.214*a1,y0 - 0.439,rpe
19,0.9582341,a0*a1*rpe,rpe*(a0 + y1),0.214*a1,a0,rpe + y1 - 0.727
21,0.94268346,0.144,rpe*(a0 + y0) + y0,0.181*a1,a0*(2*a0 - 0.442),0.442
25,0.93578124,y1 + 1.06,rpe*(a0 + y0) + y0,0.181*a1,a0*(a0 + y1 - 1.53),0.442
27,0.799914,y1*(rpe + 0.713) - 2*y1,1.21,a0*a1*(-a1 - 0.215)*(rpe - 1.1),a0*y1,rpe + y1
29,0.72800547,y1*(a1 + rpe) - 2*y1,1.21,a0*a1*(-a1 - 0.215)*(rpe - 1.1),2*a0**2,2*y0
33,0.72718406,y1*(a1 + rpe) - 2*y1,1.21,a0*a1*(-a1 - 0.215)*(rpe - 1.1),2*a0**2,rpe**2*y0 + y1
37,0.70776176,y1*(a1 + rpe) - 2*y1,y0*y1 + 2.42,a0*a1*(-a1 + 0.0699*rpe)*(rpe - 1.1),2*a0**2,a0*y1
39,0.7044326,rpe*y1 - y1,2*y0*y1 + 2.42,a0*a1*(-a1 + 0.0699*rpe)*(rpe - 1.1),2*a0*y1,a0**2*y1
